FP-non-inferning	TP-non-inferning
0.036692587	0.225769727
0.036905064	0.229356329
0.037023672	0.230124796
0.037348367	0.231591147
0.038236647	0.234407368
0.038567039	0.240955138
0.038645195	0.242207314
0.038724496	0.243164221
0.03911715	0.246317685
0.039832956	0.247547438
0.041662922	0.2498702
0.041817922	0.250923989
0.042160515	0.251443537
0.042700415	0.25367031
0.043712341	0.257581089
0.04433644	0.260247466
0.045453237	0.261838339
0.046196788	0.263380251
0.04635161	0.264592754
0.046480855	0.265982244
0.046899848	0.270771492
0.047021705	0.276256959
0.047760114	0.284892596
0.052300592	0.293851873
0.05248194	0.295759031
0.053074513	0.297176828
0.053522734	0.300522069
0.053734024	0.302453465
0.054589524	0.311666299
0.054951071	0.316949472
0.055705903	0.320685791
0.057293278	0.323731019
0.057945727	0.332836777
0.060109606	0.347259686
0.060285901	0.348564129
0.061080918	0.350246009
0.061330682	0.351067733
0.062419034	0.356467735
0.064000221	0.362135349
0.064626128	0.36499373
0.065383432	0.368962598
0.065785832	0.3703938
0.066854366	0.37353676
0.067620147	0.376468671
0.067955379	0.380340729
0.068454429	0.383487389
0.069506579	0.387028343
0.071651815	0.396688074
0.074292431	0.408816459
0.077232036	0.41940575
0.077733362	0.424018896
0.078363091	0.431555873
0.079269729	0.435484743
0.082880143	0.440737558
0.083995871	0.442705711
0.084537551	0.457469497
0.085567524	0.460510936
0.086184391	0.462233504
0.087131447	0.465364175
0.088287891	0.467996076
0.089058639	0.471767197
0.089508305	0.473521827
0.090815342	0.477704812
0.092118507	0.481250878
0.093186059	0.498256845
0.094136383	0.506537774
0.094345749	0.507848757
0.097132129	0.515511194
0.101602629	0.522482243
0.104826537	0.538469834
0.108867663	0.549132026
0.110340241	0.554929486
0.11100136	0.567026258
0.113569347	0.571897894
0.114564188	0.574905718
0.119224675	0.580503535
0.130858367	0.591540935
0.131587112	0.59564624
0.13278492	0.598441335
0.134676044	0.601398507
0.135672738	0.602751804
0.137126231	0.61212153
0.139666336	0.615616286
0.142189234	0.621211209
0.144077878	0.625015706
0.149732112	0.627841378
0.153398394	0.633553317
0.160072943	0.636571289
0.16202642	0.640552458
0.162813114	0.642498454
0.177216718	0.655435452
0.178575734	0.657606423
0.180710637	0.661498243
0.192399237	0.665727399
0.199390054	0.672733349
0.202269686	0.68668109
0.208399667	0.692629349
0.2130359	0.700896351
0.230764898	0.713476775
0.23901233	0.718822676
0.241033839	0.72419261
0.254491316	0.728432492
0.275674306	0.736558101
0.303524202	0.74690492
0.312317557	0.758571141
0.3227242	0.767706611
0.331581784	0.771116916
0.355420147	0.78145532
0.360016982	0.786518361
0.367865335	0.791691649
0.383928711	0.799300656
0.389765306	0.807021909
0.40262584	0.81008728
0.41037478	0.818656262
0.427911046	0.829897639
0.457451917	0.836721822
0.488638277	0.844483792
0.49381597	0.850203653
0.54281559	0.85763698
0.568837635	0.875384915
0.631006135	0.899277439
0.672276428	0.909993672
0.706910341	0.928571978
0.760675349	0.936561188
0.799743107	0.947118397
0.904425307	0.985880934
1	1
