FP	TP
0.003041245	0.03268043
0.003056846	0.032771573
0.003070605	0.033079247
0.003149255	0.033220471
0.003156865	0.033317057
0.003186447	0.033699488
0.00320532	0.034169128
0.003216321	0.034338426
0.003231415	0.034950803
0.003241472	0.035325989
0.003255902	0.035580329
0.003279692	0.035886354
0.003312925	0.036110488
0.003341389	0.036220512
0.003359273	0.036518181
0.003366266	0.036659368
0.003411896	0.036850964
0.003519287	0.037114061
0.003523995	0.037307547
0.00356523	0.037540774
0.003613078	0.037792648
0.003669859	0.037901236
0.003697352	0.038096217
0.003724809	0.038559252
0.003743462	0.039191817
0.003797741	0.039729073
0.003812253	0.039940643
0.003832829	0.040344683
0.003957262	0.040545438
0.003958203	0.040776993
0.003992327	0.041578301
0.004029199	0.041702184
0.004107662	0.042057066
0.004265702	0.042260967
0.004324863	0.042949293
0.004489991	0.043282031
0.004496178	0.043552219
0.00455094	0.043915039
0.004557983	0.044064598
0.004564863	0.044391185
0.004665644	0.044685237
0.004745578	0.045140185
0.004771818	0.045261682
0.004796312	0.045559694
0.004828353	0.04605741
0.004846681	0.046206485
0.004849889	0.046710289
0.00488008	0.046897872
0.004906281	0.047290901
0.005000348	0.048341173
0.005025201	0.048560854
0.00506916	0.048813744
0.005092032	0.049126545
0.005113002	0.049504678
0.005126207	0.049901075
0.005152252	0.050103325
0.005165078	0.050297005
0.005220773	0.050833065
0.005254133	0.051261388
0.005275675	0.051441397
0.005323997	0.05167673
0.005347919	0.052122226
0.005476845	0.052716163
0.00550796	0.052994375
0.005520127	0.053301495
0.005529523	0.053705518
0.005577655	0.05399684
0.005636399	0.054393712
0.005691274	0.055182191
0.00570711	0.05568583
0.005859609	0.056188992
0.005911622	0.056978057
0.005992254	0.057352448
0.006060803	0.058143121
0.006092514	0.058406631
0.006360629	0.059742566
0.006437127	0.060017267
0.006456488	0.060539984
0.006478007	0.061044371
0.00655057	0.061396636
0.006689966	0.061657771
0.006723028	0.06225995
0.008184726	0.064026739
0.008320888	0.065247044
0.008665951	0.067050374
0.008759592	0.067492547
0.008797268	0.067919633
0.009082613	0.0683976
0.00910463	0.068761358
0.009119732	0.069292284
0.009163854	0.069582089
0.009277036	0.070074971
0.009360973	0.070635562
0.009516126	0.070914313
0.009535806	0.072232065
0.009639107	0.073126891
0.009709902	0.073673452
0.009758405	0.077535186
0.009788535	0.078174749
0.009950479	0.078468482
0.009961868	0.078751928
0.010058945	0.079231023
0.010125335	0.079621581
0.010324986	0.080698286
0.010414146	0.080984357
0.01047641	0.081214373
0.010554146	0.082112534
0.010590712	0.083503217
0.010629125	0.084001573
0.010726192	0.085308742
0.010808505	0.08661423
0.01088414	0.087149445
0.010981453	0.087657197
0.011010997	0.088015496
0.011161288	0.088531541
0.011244377	0.089298037
0.01129196	0.089594746
0.011755193	0.091483855
0.012042595	0.095826816
0.012106735	0.096144052
0.012527164	0.098091402
0.012569882	0.099203902
0.012635576	0.10061761
0.012652595	0.101021085
0.012730521	0.10228017
0.012786877	0.104250489
0.012816778	0.104567781
0.012856229	0.107134743
0.013306987	0.109939044
0.01334979	0.110205967
0.013450123	0.11301525
0.013479167	0.113402347
0.013491797	0.11374597
0.013576979	0.115402219
0.013692009	0.116082462
0.013719851	0.116753927
0.013742534	0.119787852
0.013834168	0.120992853
0.013968723	0.121536128
0.014122879	0.122226624
0.014220359	0.125523568
0.014331483	0.125905893
0.014361193	0.126369324
0.014510216	0.12760784
0.014659201	0.128449283
0.014778933	0.128831448
0.01486869	0.13271399
0.014993951	0.136795166
0.015400877	0.140347397
0.015670187	0.141753429
0.015889008	0.143704492
0.015985871	0.144637611
0.016202001	0.14714732
0.016238145	0.148086629
0.016347875	0.148487457
0.01673467	0.150849853
0.016976493	0.151815777
0.017092674	0.152906153
0.017199042	0.154008244
0.017540353	0.154951804
0.018908959	0.156843102
0.018964606	0.157136745
0.019053766	0.159875416
0.019224308	0.162491578
0.019310482	0.163354845
0.019616163	0.164650291
0.01981834	0.171914093
0.020452655	0.173200352
0.02140386	0.17481977
0.021464229	0.175617098
0.021634343	0.176093665
0.021954719	0.176635495
0.023975664	0.179108441
0.024224804	0.179735924
0.027000994	0.18624738
0.027529406	0.196526851
0.027557186	0.197021437
0.02767929	0.19804645
0.028147648	0.198964903
0.028279575	0.203906797
0.028330467	0.204541655
0.029612043	0.207828896
0.029758774	0.211551727
0.029923641	0.212576563
0.030045229	0.213281911
0.03018402	0.214312748
0.030532145	0.215916221
0.032689071	0.224208928
0.033058895	0.226824602
0.033194912	0.229191154
0.034759022	0.232146384
0.035353255	0.234563925
0.035639597	0.235209526
0.03570541	0.23716917
0.038343884	0.240284716
0.039150699	0.241610361
0.039377021	0.242365006
0.039568386	0.243254647
0.039746554	0.246161465
0.039937312	0.24855365
0.041165636	0.25351225
0.041870255	0.25652245
0.042525228	0.262546687
0.043057886	0.268427308
0.043216421	0.270347774
0.043496288	0.27344308
0.043757461	0.2742648
0.04427318	0.279173748
0.047639557	0.286446727
0.048080945	0.287927019
0.048144524	0.288696884
0.051811581	0.293514108
0.052772902	0.308832929
0.0530355	0.312742372
0.0532217	0.313613624
0.054851779	0.321517645
0.057318384	0.325358415
0.057754865	0.327000517
0.058266559	0.32947084
0.058787017	0.331062679
0.061421672	0.334899365
0.062757075	0.337811738
0.065445604	0.345418357
0.066563529	0.347420131
0.07139997	0.358988317
0.071714742	0.359959458
0.072533607	0.361272869
0.074746068	0.367581046
0.077651847	0.374460559
0.078859725	0.384112553
0.081588988	0.389488782
0.081981001	0.390179856
0.083659593	0.392128457
0.085105024	0.39786767
0.085408891	0.401271968
0.08860197	0.40389269
0.089079992	0.408222774
0.090115384	0.41769723
0.09089986	0.424332221
0.091443622	0.426424516
0.091909448	0.427663887
0.09331691	0.438992304
0.094008329	0.4417003
0.094620239	0.444367633
0.095978593	0.460844607
0.097917237	0.46388869
0.099561689	0.468192078
0.101273557	0.478731944
0.102654839	0.489344569
0.105581898	0.494868907
0.105825191	0.496614035
0.107656488	0.510271474
0.111293363	0.515568379
0.117740661	0.52902182
0.118702968	0.532581055
0.120864584	0.535687738
0.127425994	0.547564192
0.12927456	0.552220933
0.129621926	0.554108712
0.13441019	0.566108862
0.140009735	0.575349498
0.140783633	0.583305783
0.141888058	0.585028316
0.142803894	0.588843843
0.147433982	0.594375026
0.150715554	0.596826366
0.153548926	0.604596776
0.155439646	0.606668251
0.165216056	0.620308542
0.167988365	0.639803247
0.173791796	0.645592933
0.180481429	0.655295957
0.187545652	0.658023366
0.194458349	0.666947925
0.200643011	0.671810088
0.202866718	0.679663188
0.20552292	0.682790321
0.212712742	0.691083262
0.219263695	0.697536765
0.224059671	0.702195395
0.234207694	0.713372402
0.244598011	0.71626001
0.252973197	0.735332142
0.258553624	0.742261508
0.275638307	0.745688704
0.296249196	0.75020786
0.315047584	0.764512383
0.326308966	0.769512859
0.336080843	0.774950471
0.340730343	0.780219562
0.344245174	0.783938985
0.348006355	0.789177587
0.372749093	0.800832435
0.387404444	0.816582
0.400978781	0.820835766
0.408679499	0.824272115
0.420104864	0.828777189
0.439216934	0.831751302
0.445797783	0.837443795
0.464599471	0.84806486
0.495783685	0.860165704
0.505770375	0.863888528
0.536812777	0.871029277
0.556971886	0.882762619
0.586221005	0.890316019
0.622189687	0.898510577
0.668197918	0.906888142
0.697697587	0.910329043
0.747666257	0.921009567
0.786572684	0.93573436
0.869364274	0.956260605
0.926386668	0.976222581
1	1
