epoch,loss_kruskal,val_loss_kruskal,rand_kruskal,val_rand_kruskal
10,0.8704956,0.8388851,0.33723792270531405,0.5023176328502416
20,0.8372881,0.8127661,0.3257717391304348,0.49234178743961354
30,0.8006794,0.77535707,0.3095857487922705,0.4885543478260869
40,0.758599,0.7385094,0.2769963768115942,0.4484782608695652
50,0.71278,0.6976111,0.3035555555555556,0.478361111111111
60,0.66609424,0.65417016,0.2770507246376811,0.45339613526570044
70,0.61983573,0.61023194,0.3000615942028985,0.45172342995169074
80,0.5739378,0.5662756,0.30018115942028983,0.4433683574879227
90,0.5280378,0.52313316,0.30654468599033813,0.4406135265700484
100,0.48866463,0.48639208,0.30962318840579706,0.44067149758454105
110,0.456837,0.45683798,0.31021980676328503,0.4414021739130435
120,0.4301467,0.4360401,0.3099468599033816,0.43748550724637675
130,0.4062763,0.4214446,0.3141219806763285,0.43696618357487915
140,0.38686663,0.4080453,0.28975241545893715,0.44372342995169084
150,0.36778757,0.39845943,0.28982246376811593,0.41957246376811597
160,0.35026997,0.3903455,0.2898514492753623,0.43428381642512076
170,0.33595523,0.3838524,0.28842874396135265,0.41991304347826086
180,0.321206,0.3792253,0.28841062801932366,0.4342886473429951
190,0.3094719,0.37297362,0.2883780193236715,0.42040821256038646
200,0.29604647,0.36588222,0.28836352657004827,0.4202222222222223
210,0.28464156,0.3612328,0.28774154589371986,0.4209432367149758
220,0.27604756,0.35603458,0.2874299516908213,0.4212463768115942
230,0.26822492,0.3525985,0.28056280193236716,0.37484541062801935
240,0.2598123,0.34880868,0.2795072463768116,0.375177536231884
250,0.253236,0.3460888,0.27948067632850243,0.3752065217391304
260,0.24691176,0.3428588,0.2723731884057971,0.3804480676328502
270,0.24103539,0.3381465,0.27307608695652175,0.3794915458937198
280,0.23859015,0.3349189,0.27307608695652175,0.3794915458937198
290,0.22967823,0.3321059,0.27307608695652175,0.3787838164251208
300,0.22438765,0.33071178,0.27236714975845416,0.37729347826086956
310,0.22135243,0.32888204,0.2723248792270532,0.37878864734299517
320,0.21839783,0.32783404,0.27159782608695654,0.37714734299516905
330,0.2171891,0.3255835,0.268018115942029,0.39260507246376813
340,0.21190433,0.32404125,0.2818538647342995,0.40016183574879227
350,0.21091023,0.32305935,0.28093961352657004,0.3923019323671498
360,0.20706388,0.3225112,0.2791521739130435,0.3997789855072464
370,0.20336732,0.32180598,0.2791521739130435,0.41083212560386473
380,0.20295522,0.32100344,0.3000676328502416,0.41091425120772945
390,0.20122084,0.32098052,0.3000676328502416,0.4151763285024154
400,0.19933759,0.31954232,0.3000338164251207,0.4151763285024154
410,0.19793388,0.31943083,0.29930676328502415,0.41505193236714977
420,0.19707096,0.31886607,0.307427536231884,0.4013297101449275
430,0.19424687,0.31855443,0.307427536231884,0.40159903381642514
440,0.19322935,0.31762344,0.30720772946859903,0.40480072463768113
450,0.19167873,0.3173683,0.30717753623188404,0.40670893719806767
460,0.19167349,0.31755584,0.30704106280193233,0.40941787439613525
470,0.19138727,0.31694728,0.3066231884057971,0.409415458937198
480,0.18879798,0.31781417,0.305768115942029,0.4091570048309179
490,0.18845601,0.31659997,0.30590096618357493,0.4094130434782609
500,0.18407415,0.31645894,0.3058961352657005,0.40940821256038645
510,0.18704982,0.31625706,0.29296859903381645,0.40919565217391307
520,0.18728343,0.31572604,0.2796292270531401,0.4079794685990338
530,0.18537036,0.31557018,0.27843478260869564,0.4079794685990338
540,0.18239605,0.3154116,0.29411111111111116,0.4082729468599034
550,0.18501194,0.31528577,0.2935398550724638,0.4048285024154589
560,0.18237238,0.31555185,0.2931666666666667,0.40454710144927536
570,0.18320121,0.31550995,0.2877391304347826,0.4048200483091787
580,0.181951,0.3153228,0.28732729468599033,0.40569927536231887
590,0.18288437,0.31582707,0.28691666666666665,0.4057789855072464
600,0.181894,0.31530866,0.28639975845410626,0.4057789855072464
610,0.18182227,0.31480736,0.28639975845410626,0.39220048309178746
620,0.1818364,0.31420615,0.28568961352657,0.3927101449275362
630,0.17764416,0.3134837,0.2856702898550725,0.3926811594202899
640,0.17626724,0.3133506,0.285243961352657,0.399731884057971
650,0.17774206,0.31300014,0.2857004830917874,0.3992053140096618
660,0.17676707,0.3122367,0.28287198067632846,0.3991908212560386
670,0.17566128,0.31171048,0.2826219806763285,0.3991449275362319
680,0.1731323,0.31089836,0.28294927536231884,0.39966183574879227
690,0.17376414,0.3114564,0.253731884057971,0.37714975845410625
700,0.17471062,0.31254914,0.2539480676328502,0.3735736714975846
710,0.1700373,0.3118358,0.2529504830917874,0.37267512077294684
720,0.17251715,0.31093955,0.25228623188405797,0.37267512077294684
730,0.1674437,0.3104926,0.24964975845410628,0.37266908212560385
740,0.1710922,0.31038398,0.2487657004830918,0.37175845410628017
750,0.16854955,0.310402,0.2713357487922705,0.37060265700483086
760,0.16617861,0.30968615,0.2712657004830918,0.37058574879227046
770,0.16753823,0.3090166,0.2712367149758454,0.3672874396135266
780,0.16769418,0.3081174,0.2712367149758454,0.3681968599033817
790,0.16371301,0.30764645,0.2711884057971014,0.36792874396135267
800,0.1619871,0.30730957,0.2712548309178744,0.3685314009661836
810,0.16158669,0.3068327,0.271256038647343,0.3676219806763285
820,0.16096409,0.3060776,0.271256038647343,0.3676219806763285
830,0.15996835,0.30457935,0.27121497584541066,0.36701328502415465
840,0.1592687,0.30340615,0.27121497584541066,0.3670144927536232
850,0.16098815,0.3032326,0.2707777777777778,0.3676268115942029
860,0.15811071,0.3046568,0.27065700483091787,0.3679951690821256
870,0.1561118,0.30385184,0.27065700483091787,0.3672850241545894
880,0.15813155,0.3056591,0.27065942028985507,0.36645048309178746
890,0.15980628,0.30476528,0.27065942028985507,0.3664480676328502
900,0.15714583,0.3043337,0.27065579710144927,0.3660603864734299
910,0.1574698,0.30556086,0.269768115942029,0.3665917874396135
920,0.15548047,0.30558407,0.2693285024154589,0.36611352657004825
930,0.15583988,0.30557215,0.2685096618357488,0.3660893719806763
940,0.15390232,0.30524355,0.2685096618357488,0.3660893719806763
950,0.15309867,0.30569667,0.2685096618357488,0.3657826086956522
960,0.15288343,0.30702153,0.2685096618357488,0.3591256038647343
970,0.15291166,0.30641544,0.26850241545893716,0.35825120772946856
980,0.15108773,0.3086907,0.26850241545893716,0.35825120772946856
990,0.15362617,0.31029367,0.26850241545893716,0.35825120772946856
1000,0.15050244,0.31096897,0.2684082125603865,0.35825120772946856
